Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,10000,1996,1952,120457,13159,148886,268878
arreglo2.csv,10000,1995,2952,120491,13125,151827,271819
arreglo3.csv,10000,2034,2953,120383,13233,142249,262241
arreglo4.csv,10000,1995,1994,120441,13175,144347,264339
arreglo5.csv,10000,1994,1995,120444,13172,164116,284108
arreglo6.csv,10000,1994,2992,120412,13204,146812,266804
arreglo7.csv,10000,1995,1995,120347,13269,150278,270270
arreglo8.csv,10000,1995,2992,120447,13169,142620,262612
arreglo9.csv,10000,1995,2992,120452,13164,155582,275574
arreglo10.csv,10000,1994,2114,120441,13175,146839,266831
arreglo11.csv,10000,1995,1994,120343,13273,162005,281997
arreglo12.csv,10000,1995,1995,120484,13132,143118,263110
arreglo13.csv,10000,2004,1986,120496,13120,146991,266983
arreglo14.csv,10000,1996,2157,120474,13142,159658,279650
arreglo15.csv,10000,1993,1995,120446,13170,154039,274031
arreglo16.csv,10000,1995,1995,120369,13247,146939,266931
arreglo17.csv,10000,1995,1994,120407,13209,153883,273875
arreglo18.csv,10000,1995,2992,120407,13209,145883,265875
arreglo19.csv,10000,2033,1997,120500,13116,149932,269924
arreglo20.csv,10000,1994,1995,120411,13205,142411,262403
arreglo21.csv,10000,1996,3991,120498,13118,142571,262563
arreglo22.csv,10000,1993,2991,120401,13215,147096,267088
arreglo23.csv,10000,1994,2992,120353,13263,156873,276865
arreglo24.csv,10000,1994,3992,120541,13075,159761,279753
arreglo25.csv,10000,1993,1995,120483,13133,146548,266540
arreglo26.csv,10000,1995,1994,120444,13172,145214,265206
arreglo27.csv,10000,1994,2991,120400,13216,146691,266683
arreglo28.csv,10000,1996,2989,120385,13231,150877,270869
arreglo29.csv,10000,2034,2954,120322,13294,153367,273359
arreglo30.csv,10000,3088,2995,120537,13079,156880,276872
