Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,1000,0,0,5044,4932,0,7997
arreglo2.csv,1000,0,0,5044,4932,0,7997
arreglo3.csv,1000,0,0,5044,4932,0,7997
arreglo4.csv,1000,997,0,5044,4932,0,7997
arreglo5.csv,1000,0,0,5044,4932,0,7997
arreglo6.csv,1000,998,0,5044,4932,0,7997
arreglo7.csv,1000,0,0,5044,4932,0,7997
arreglo8.csv,1000,0,0,5044,4932,0,7997
arreglo9.csv,1000,0,0,5044,4932,0,7997
arreglo10.csv,1000,0,0,5044,4932,0,7997
arreglo11.csv,1000,0,0,5044,4932,0,7997
arreglo12.csv,1000,997,0,5044,4932,0,7997
arreglo13.csv,1000,0,0,5044,4932,0,7997
arreglo14.csv,1000,0,0,5044,4932,0,7997
arreglo15.csv,1000,0,0,5044,4932,0,7997
arreglo16.csv,1000,0,0,5044,4932,0,7997
arreglo17.csv,1000,994,0,5044,4932,0,7997
arreglo18.csv,1000,0,994,5044,4932,0,7997
arreglo19.csv,1000,0,0,5044,4932,0,7997
arreglo20.csv,1000,0,0,5044,4932,0,7997
arreglo21.csv,1000,0,0,5044,4932,0,7997
arreglo22.csv,1000,0,0,5044,4932,0,7997
arreglo23.csv,1000,0,0,5044,4932,0,7997
arreglo24.csv,1000,0,0,5044,4932,0,7997
arreglo25.csv,1000,0,0,5044,4932,0,7997
arreglo26.csv,1000,0,0,5044,4932,0,7997
arreglo27.csv,1000,0,0,5044,4932,0,7997
arreglo28.csv,1000,0,0,5044,4932,0,7997
arreglo29.csv,1000,996,0,5044,4932,0,7997
arreglo30.csv,1000,0,0,5044,4932,0,7997
