Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,1000,0,0,5137,4839,4266,12263
arreglo2.csv,1000,1036,0,5146,4830,4256,12253
arreglo3.csv,1000,0,0,5144,4832,4276,12273
arreglo4.csv,1000,0,0,5142,4834,4270,12267
arreglo5.csv,1000,0,0,5164,4812,4269,12266
arreglo6.csv,1000,0,0,5160,4816,4270,12267
arreglo7.csv,1000,0,0,5148,4828,4270,12267
arreglo8.csv,1000,0,0,5143,4833,4268,12265
arreglo9.csv,1000,0,0,5165,4811,4260,12257
arreglo10.csv,1000,0,0,5142,4834,4260,12257
arreglo11.csv,1000,0,0,5167,4809,4263,12260
arreglo12.csv,1000,0,0,5152,4824,4272,12269
arreglo13.csv,1000,0,0,5154,4822,4258,12255
arreglo14.csv,1000,0,0,5143,4833,4259,12256
arreglo15.csv,1000,0,0,5144,4832,4267,12264
arreglo16.csv,1000,0,0,5146,4830,4268,12265
arreglo17.csv,1000,0,0,5154,4822,4252,12249
arreglo18.csv,1000,0,0,5132,4844,4262,12259
arreglo19.csv,1000,0,0,5142,4834,4271,12268
arreglo20.csv,1000,0,0,5161,4815,4259,12256
arreglo21.csv,1000,0,0,5159,4817,4258,12255
arreglo22.csv,1000,0,0,5129,4847,4274,12271
arreglo23.csv,1000,0,0,5147,4829,4263,12260
arreglo24.csv,1000,0,0,5153,4823,4271,12268
arreglo25.csv,1000,0,981,5159,4817,4243,12240
arreglo26.csv,1000,0,996,5174,4802,4267,12264
arreglo27.csv,1000,0,0,5151,4825,4256,12253
arreglo28.csv,1000,0,0,5146,4830,4275,12272
arreglo29.csv,1000,0,0,5138,4838,4257,12254
arreglo30.csv,1000,0,0,5161,4815,4260,12257
